freebase:id,wikipedia:id,viaf:id,lcnaf:id,moma:id,vanda:id,ima:id,ch:id,ch:name
,13682,0,0,0,0,0,18043603,"Herbert Hoover"
,1313805,0,0,0,0,0,18043625,"Mike Mills"
,34893766,0,0,0,0,0,18043651,"Stephen Doyle"
/m/09zqzc,3764125,92536323,0,7070,0,0,18043689,"Paula Scher"
/m/07rd59,2607965,74990610,0,0,0,0,18043709,"Henry Hitchings"
,32263355,0,0,0,920,0,18043723,"Barovier & Toso"
/m/0fc1vf,5890367,0,0,1028,0,0,18043737,"Achille Castiglioni"
,30947200,0,0,0,37386,0,18043745,"Dedham Pottery"
/m/06_vk9,2271988,47159863,0,1616,947,0,18043763,"Christopher Dresser"
,8951521,0,0,0,0,0,18043779,"F B"
/m/08rj30,3101790,0,0,0,0,18295393,18043789,"Gorham Manufacturing Company"
/m/0bmg030,26710638,0,0,0,37162,0,18043793,"Grueby Faience Company"
,345605,0,0,0,53533,0,18043811,Huet
,24619282,0,0,0,535,0,18043821,"Jennens & Bettridge"
/m/01lwd,5233,0,0,0,10626,0,18043833,L.
,68360,0,0,0,951,0,18043837,Lalique
/m/03czkb3,14261804,0,0,0,0,0,18043851,"Mary Chase Perry"
,40674,0,0,0,0,0,18043857,Meissen
,2296421,0,0,0,4759,0,18043865,"Morris & Co."
,33277,0,0,7061,1835,18296011,18043867,"William Morris"
,1071471,0,0,0,0,0,18043871,Oriel
,24619194,0,0,0,0,0,18043875,Overbeck
/m/03rht6,935960,0,0,0,0,0,18043879,"Pewabic Pottery"
/m/02x8kvf,30862869,0,0,0,3482,18295725,18043903,"Rookwood Pottery"
/m/02x8r49,12870207,0,0,0,0,0,18043911,"Kataro Shirayamadani"
/m/0bghzq,4069515,0,0,0,28,0,18043915,"Royal Doulton"
/m/05pcbv5,21888487,0,0,0,770,0,18043937,"Thomas Webb & Sons"
/m/02w2c0h,12384847,0,0,0,2737,0,18043943,"Matteo Thun"
,3771489,0,0,0,106,0,18043969,Wedgwood
,9493643,0,0,0,38161,0,18043973,"Weller Pottery"
,29337181,0,0,0,0,0,18043977,"William Morris & Co."
,58681,0,0,0,0,0,18043981,Worcester
/m/05sy0rx,22340843,0,0,0,13041,0,18043983,"Zuber & Cie"
,843787,0,0,0,61677,0,18043993,Bloomingdale's
/m/0gsgl0,6849554,0,0,6208,0,0,18044003,"Wilhelm Wagenfeld"
